SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING
SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING
Holly Avenue Elementary,"360 W. Duarte Rd., Arcadia, CA 91007",60297000231,,1
Hugo Reid Elementary,"1000 Hugo Reid Dr., Arcadia, CA 91007",60297000232,,1
Longley Way Elementary,"2601 Longley Way, Arcadia, CA 91007",60297000233,,1
Rancho Learning Center (Alternative),"150 S. Third Ave., Arcadia, CA 91006",60297009302,,1
Sunny Brae Middle,"1430 Buttermilk Ln., Arcata, CA 95521",60300000236,,1
Arcata Elementary,"2400 Baldwin St., Arcata, CA 95521",60300000237,,1
Coastal Grove Charter,"1897 S St., Arcata, CA 95521",60300010500,,1
Fuente Nueva Charter,"1730 Janes Rd., Arcata, CA 95521",60300010799,,1
Union Street Charter,"470 Union St., Arcata, CA 95521",60300011590,,1
Redwood Coast Montessori,"1611 Peninsula Dr., Manila, CA 95521",60300013192,,1
Arcata High,"1720 M St., Arcata, CA 95521",60303000238,,1
McKinleyville High,"1300 Murray Rd., McKinleyville, CA 95519",60303000239,,1
Pacific Coast High (Continuation),"1720 M St., Arcata, CA 95521",60303007261,,1
Tsurai High (Continuation),"1300 Murray Rd., McKinleyville, CA 95521",60303007262,,1
Six Rivers Charter High,"1720 M St., Arcata, CA 95521",60303010800,,1
Laurel Tree Charter,"4555 Valley W. Blvd., Arcata, CA 95521",60303012960,,1
Arcohe Elementary,"11755 Ivie Rd., Herald, CA 95638",60306000241,,1
Arena Elementary,"20 Sch St., Point Arena, CA 95468",60309000242,,1
Pacific Community Charter,"10 Lake St., Point Arena, CA 95468",60309008155,,1
Armona Elementary,"14045 Pimo St., Armona, CA 93202",60318000243,,1
Parkview Middle,"11075 C St., Armona, CA 93202",60318000244,,1
Crossroads Charter,"418 W. 8th St., Hanford, CA 93230",60318011283,,1
California Virtual Academy at Kings,"50 Moreland Rd., Simi Valley, CA 93065",60318011996,,1
Haven Drive Middle,"341 Haven Dr., Arvin, CA 93203",60327000245,,1
Sierra Vista Elementary,"300 Franklin St., Arvin, CA 93203",60327000246,,1
Bear Mountain Elementary,"1501 Hood St., Arvin, CA 93203",60327000413,,1
El Camino Real Elementary,"911 El Camino Real Rd., Arvin, CA 93203",60327011908,,1
Atascadero High,"1 High Sch Hill, Atascadero, CA 93422",60330000247,,1
Atascadero Middle,"6501 Lewis Ave., Atascadero, CA 93422",60330000248,,1
Carrisa Plains Elementary,"9640 Carrisa Hwy., Santa Margarita, CA 93453",60330000249,,1
Creston Elementary,"5105 O'Donovan Rd., Creston, CA 93432",60330000250,,1
Monterey Road Elementary,"3355 Monterey Rd., Atascadero, CA 93422",60330000252,,1
Santa Margarita Elementary,"22070 H St., Santa Margarita, CA 93453",60330000254,,1
Santa Rosa Road Academic Academy,"8655 Santa Rosa Rd., Atascadero, CA 93422",60330000255,,1
San Benito Elementary,"4300 San Benito Rd., Atascadero, CA 93422",60330001384,,1
Paloma Creek High,"10801 El Camino Real, Atascadero, CA 93422",60330006562,,1
Fine Arts Academy,"6100 Olmeda Ave., Atascadero, CA 93422",60330008624,,1
San Gabriel Elementary,"8500 San Gabriel Rd., Atascadero, CA 93422",60330009303,,1
West Mall Alternative,"4507 Del Rio Rd., Atascadero, CA 93422",60330010317,,1
Aileen Colburn Elementary,"2201 Heller St., Atwater, CA 95301",60342000256,,1
Bellevue Elementary,"1020 E. Bellevue Rd., Atwater, CA 95301",60342000257,,1
